"Timestamp","Username","Star Wars: The Force Awakens (2015)","Mad Max: Fury Road (2015)","Deadpool (2016)","The Martian (2015)","Avengers: Age of Ultron (2015)","The Revenant (2015)","Batman v Superman: Dawn of Justice (2016)","Jurassic World (2015)","Inside Out (2015)","Captain America: Civil War (2016)","Suicide Squad (2016)","Ant-Man (2015)","The Hateful Eight (2015)","Spectre (2015)","Furious 7 (2015)","Arrival (II) (2016)","Zootopia (2016)","Stranger Things (2016)","Star Wars Rogue One (2016)","X-Men: Apocalypse (2016)"
"2017/05/19 12:07:21 PM GMT+2","user1","7","7","4","3","3","5","2","3","8","0","2","3","4","6","5","4","10","7","5","5"
"2017/05/19 12:07:49 PM GMT+2","user2","9","7","7","5","6","6","2","4","4","5","5","4","3","8","6","5","3","6","2","5"
"2017/05/19 3:56:12 PM GMT+2","Bert","8","0","6","0","0","8","0","4","0","0","0","0","9","0","0","0","0","8","8","6"
"2017/05/19 3:56:12 PM GMT+2","Anete","0","8","7","8","0","7","0","0","0","0","8","0","0","0","0","9","0","0","0","0"
"2017/05/19 3:56:15 PM GMT+2","Mark Heijnen","8","0","7","7","7","0","5","5","8","6","0","7","0","8","0","0","0","0","10","7"
"2017/05/19 3:56:17 PM GMT+2","Tourky","5","8","7","9","10","8","10","6","9","10","0","9","0","8","10","0","7","9","0","7"
"2017/05/19 3:56:21 PM GMT+2","Vincent Houwaart","8","7","6","7","5","8","5","7","0","0","0","6","7","0","7","8","0","0","7","0"
"2017/05/19 3:56:36 PM GMT+2","Amanda","0","0","0","0","0","0","0","4","9","0","0","0","1","0","7","0","10","7","0","0"
"2017/05/19 3:56:52 PM GMT+2","Ameya","5","0","0","0","7","7","7","0","10","0","5","0","0","7","0","0","6","0","0","0"
"2017/05/19 3:56:54 PM GMT+2","Sebastian","9","9","9","6","0","10","0","4","9","0","0","0","8","0","0","0","0","10","9","0"
"2017/05/19 3:56:56 PM GMT+2","Madli","10","0","0","10","0","9","0","0","10","0","7","0","0","0","0","0","9","9","0","0"
"2017/05/19 3:56:58 PM GMT+2","Sara","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017/05/19 3:57:06 PM GMT+2","Thomas","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","9","0","0","0"
"2017/05/19 3:58:29 PM GMT+2","B","7","0","0","0","0","0","8","5","3","7","9","6","0","6","0","0","0","0","9","9"
"2017/05/19 3:59:48 PM GMT+2","Mireille","7","0","0","0","0","8","0","0","9","0","0","0","0","0","0","0","0","9","0","0"
