Username,Star Wars: The Force Awakens (2015),Mad Max: Fury Road (2015),Deadpool (2016),The Martian (2015),Avengers: Age of Ultron (2015),The Revenant (2015),Batman v Superman: Dawn of Justice (2016),Jurassic World (2015),Inside Out (2015),Captain America: Civil War (2016),Suicide Squad (2016),Ant-Man (2015),The Hateful Eight (2015),Spectre (2015),Furious 7 (2015),Arrival (II) (2016),Zootopia (2016),Stranger Things (2016),Star Wars Rogue One (2016),X-Men: Apocalypse (2016)
user1,4.768136940911629,4.688259661098248,4.598702483789113,4.640770929775156,4.485125523414995,4.901273684433683,4.319677829136154,4.616088389559778,5.037433033013269,4.197823179402422,4.5277973855064095,4.2992524509226,4.9288760843427575,4.483164430923809,4.716827269430824,4.496214114923129,5.291239975707528,5.18079599562953,4.518854938973852,4.3915784890219625
user2,5.2188984921236,5.324532379142664,5.276132349824453,5.293059693099958,5.247566188791572,5.308328733457575,5.1097707341800715,5.04470262989539,5.231119569785597,5.180560430451979,5.242304586990404,5.146481039614377,5.168911424192387,5.2185425300419155,5.218609278037581,5.346566019279519,5.133692396506403,5.295472153147142,5.054339882163967,5.1287967881276515
Bert,3.3689970975825356,2.9308908741132713,3.2590290954837675,2.789024823942596,2.333058735109265,3.376353237571395,2.3122529143073227,3.048395013718736,2.9030187631984137,2.275726680033381,2.440493882401739,2.482938123517441,4.4592619204473785,2.359803760627311,2.4325374297745648,2.675924690568868,2.4158959221113796,3.5728085175267794,3.770762236062927,2.9134405974445903
Anete,2.2530277255180184,2.988790550165508,2.670237224093165,2.838754097876539,1.978744867748153,2.7768922883864793,1.7921662497500292,1.922681490789824,1.9871501480620988,1.6603116118660772,3.123155529130821,1.9058093228195294,2.5717876567041578,1.807942289495541,2.094615277728927,3.913899166561162,1.905246358080497,2.2029408785110696,2.0575801790254364,1.688541265334124
Mark Heijnen,4.595055869658096,4.013896010350636,4.472088707408269,4.372216477975255,4.877935742892798,4.032746220815123,5.058745680709554,4.609464334231354,4.542028666008872,5.305529690711941,4.233362356298301,5.052259657770755,4.0304591212482075,5.073876617748703,4.149840166235283,3.5457420147160748,3.9076545520597117,4.064331139862051,5.065711154849048,5.161598597520017
Tourky,6.638212672789856,6.683392659859611,6.624698680677933,6.882746462405837,7.482991781207136,6.617274478590965,7.363014063384063,6.816696602469149,7.237029865370129,7.607134194972627,6.231408538480437,7.256630675176798,5.837183134511009,7.3233561064305395,7.3933663954174795,5.899198354507354,7.3477007473937315,6.962076588515265,6.19827393294138,6.995869360167468
Vincent Houwaart,4.534654177017121,5.021392430297236,4.957201091912858,4.72789686428974,4.384493731273814,4.782632015824145,4.1789373351936385,4.6545063630347006,4.015722746182745,3.9442061189992086,3.943328259253364,4.436612056897344,5.529187360234491,3.960951791357872,4.59375572091695,5.573557880636817,3.8096144080747902,4.353435231393989,4.839435858159586,4.080605984498165
Amanda,1.7934856155258698,1.6652497424020691,1.4960740438040143,1.717794512282554,1.7024055597643015,1.932358103962928,1.5543285613194147,1.9459094802762393,2.434823598241095,1.4748473275435992,1.4878382392184402,1.475674168684066,1.6959162460599144,1.6584372089141572,2.2331208591791443,1.2066663096785528,3.156084307006083,2.5297290878517256,1.3009629124300564,1.4886684233147125
Ameya,2.838989365126814,2.3627252106269983,2.3255468210353656,2.6604545349891713,3.0305067269972223,2.8523882052646132,3.071711063193048,2.4527523318532,3.390884332922697,2.7746239908180566,3.2851401895792827,2.6079639997338866,1.9926095903178267,3.1359785105219156,2.59106743963948,2.0960587771724937,3.456436771145751,2.855019474711404,2.313983641391007,2.6451534214767634
Sebastian,4.833742015399679,4.733865697514101,4.845755216322402,4.577520212766271,3.628939865142639,5.21181634928616,3.35386534121742,4.212618300898175,4.644624135928994,3.2115613838088635,3.8128200280811604,3.5452425749798984,6.023636905301217,3.4390377355304134,3.839238194945266,4.3961788983635,4.011264684082932,5.3917152418142695,4.913850783847172,3.729619601168112
Madli,3.6201194822399345,3.091810070618851,2.968119749460556,3.5752201589012853,2.7796593668676377,3.9671769334646494,2.6641367955919737,2.8169565405108044,4.174794629761229,2.474175874744492,4.010349551054116,2.4521252490452614,3.173021109097599,2.8312143316182286,2.8832098595303908,2.829655649539691,4.348333707277502,4.2963463751762605,2.7580686345907734,2.6166915697392836
Sara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas,0.8037621858204903,0.7465819821484138,0.7064948165699567,0.776462808411452,0.8197650745362535,0.7766712318196028,0.8244574399705404,1.3153008375706101,0.9911710869865991,0.764707669126821,0.7370192192793555,0.8039572186342744,0.8236162864974748,0.8184894336627566,1.063184721127973,0.6641071905311904,1.6967884526771209,0.9780204545530601,0.7476222655727836,0.8059910598863592
B,3.5586799757977343,2.784045791782229,3.1469931624676977,3.101116983792061,3.5612313597879246,2.88701361595967,4.18284000153889,3.580236315130184,3.370990184531121,4.391549830517383,4.160719444062229,3.998079216549165,2.7562747692748495,4.117186093908814,2.941012407041411,2.589230480631185,2.9631327887415972,2.866355757713321,4.05707769878933,4.386018639131475
Mireille,2.1086461364356732,1.674521239614535,1.6881873266166512,1.827740782538065,1.4856101940556177,2.318871292510798,1.376656553479083,1.496837249144209,2.4185273193384647,1.2723215234424068,1.778531831687679,1.264753810090767,2.09285241478533,1.4779351980282913,1.5520503385383955,1.231942202141233,2.1798951514181604,2.652226119549168,1.6578328694335467,1.4331942922331438
